Section,Adj Section,Interface Area (m^2),Section Distance to Interface of Adj Section (m),Mixing Length,alpha,Adj Section,Interface Area (m^2),Section Distance to Interface of Adj Section (m),Mixing Length,alpha
82,81,10000,5.00E-02,-9.99E+02,1.00E+00,83,10000,5.00E-02,-999,1
83,82,10000,5.00E-02,-9.99E+02,1.00E+00,84,10000,5.00E-02,-999,1
84,83,10000,5.00E-02,-9.99E+02,1.00E+00,85,10000,5.00E-02,-999,1
85,84,10000,5.00E-02,-9.99E+02,1.00E+00,86,10000,5.00E-02,-999,1
86,85,10000,5.00E-02,-9.99E+02,1.00E+00,87,10000,5.00E-02,-999,1
87,86,10000,5.00E-02,-9.99E+02,1.00E+00,88,10000,5.00E-02,-999,1
88,87,10000,5.00E-02,-9.99E+02,1.00E+00,89,10000,5.00E-02,-999,1
89,88,10000,5.00E-02,-9.99E+02,1.00E+00,90,10000,5.00E-02,-999,1
90,89,10000,5.00E-02,-9.99E+02,1.00E+00,91,10000,5.00E-02,-999,1
91,90,10000,5.00E-02,-9.99E+02,1.00E+00,92,10000,5.00E-02,-999,1
92,91,10000,5.00E-02,-9.99E+02,1.00E+00,93,10000,5.00E-02,-999,1
93,92,10000,5.00E-02,-9.99E+02,1.00E+00,94,10000,5.00E-02,-999,1
94,93,10000,5.00E-02,-9.99E+02,1.00E+00,95,10000,5.00E-02,-999,1
95,94,10000,5.00E-02,-9.99E+02,1.00E+00,96,10000,5.00E-02,-999,1
96,95,10000,5.00E-02,-9.99E+02,1.00E+00,97,10000,5.00E-02,-999,1
97,96,10000,5.00E-02,-9.99E+02,1.00E+00,98,10000,5.00E-02,-999,1
98,97,10000,5.00E-02,-9.99E+02,1.00E+00,99,10000,5.00E-02,-999,1
99,98,10000,5.00E-02,-9.99E+02,1.00E+00,100,10000,5.00E-02,-999,1
100,99,10000,5.00E-02,-9.99E+02,1.00E+00
