SV,Compartment,Initial Condition
1,117,0.00E+00
1,118,0.00E+00
1,119,0.00E+00
1,120,0.00E+00
1,121,0.00E+00
1,122,0.00E+00
1,123,0.00E+00
1,124,0.00E+00
1,125,0.00E+00
1,126,0.00E+00
1,127,0.00E+00
1,128,0.00E+00
1,129,0.00E+00
1,130,0.00E+00
1,131,0.00E+00
1,132,0.00E+00
1,133,0.00E+00
1,134,0.00E+00
1,135,0.00E+00
1,136,0.00E+00
1,137,0.00E+00
1,138,0.00E+00
1,139,0.00E+00
1,140,0.00E+00
1,141,0.00E+00
1,142,0.00E+00
1,143,0.00E+00
1,144,0.00E+00
1,145,0.00E+00
1,146,0.00E+00
1,147,0.00E+00
1,148,0.00E+00
1,149,0.00E+00
1,150,0.00E+00
1,151,0.00E+00
1,152,0.00E+00
1,153,0.00E+00
1,154,0.00E+00
1,155,0.00E+00
1,156,0.00E+00
1,157,0.00E+00
1,158,0.00E+00
1,159,0.00E+00
1,160,0.00E+00
1,161,0.00E+00
1,162,0.00E+00
1,163,0.00E+00
1,164,0.00E+00
1,165,0.00E+00
1,166,0.00E+00
1,167,0.00E+00
1,168,0.00E+00
1,169,0.00E+00
1,170,0.00E+00
1,171,0.00E+00
1,172,0.00E+00
1,173,0.00E+00
1,174,0.00E+00
1,175,0.00E+00
1,176,0.00E+00
1,177,0.00E+00
1,178,0.00E+00
1,179,0.00E+00
1,180,0.00E+00
1,181,0.00E+00
1,182,0.00E+00
1,183,0.00E+00
1,184,0.00E+00
1,185,0.00E+00
1,186,0.00E+00
1,187,0.00E+00
1,188,0.00E+00
1,189,0.00E+00
1,190,0.00E+00
1,191,0.00E+00
1,192,0.00E+00
1,193,0.00E+00
1,194,0.00E+00
1,195,0.00E+00
1,196,0.00E+00
1,197,0.00E+00
1,198,0.00E+00
1,199,0.00E+00
1,200,0.00E+00
1,201,0.00E+00
1,202,-9.99E+02
2,1,-999
2,2,0.00E+00
2,3,0.00E+00
2,4,0.00E+00
2,5,0.00E+00
2,6,0.00E+00
2,7,0.00E+00
2,8,0.00E+00
2,9,0.00E+00
2,10,0.00E+00
2,11,0.00E+00
2,12,0.00E+00
2,13,0.00E+00
2,14,0.00E+00
2,15,0.00E+00
2,16,0.00E+00
2,17,0.00E+00
2,18,0.00E+00
2,19,0.00E+00
2,20,0.00E+00
2,21,0.00E+00
2,22,0.00E+00
2,23,0.00E+00
2,24,0.00E+00
2,25,0.00E+00
2,26,0.00E+00
2,27,0.00E+00
2,28,0.00E+00
2,29,0.00E+00
2,30,0.00E+00
2,31,0.00E+00
2,32,0.00E+00
2,33,0.00E+00
2,34,0.00E+00
2,35,0.00E+00
2,36,0.00E+00
2,37,0.00E+00
2,38,0.00E+00
2,39,0.00E+00
2,40,0.00E+00
2,41,0.00E+00
2,42,0.00E+00
2,43,0.00E+00
2,44,0.00E+00
2,45,0.00E+00
2,46,0.00E+00
2,47,0.00E+00
2,48,0.00E+00
2,49,0.00E+00
2,50,0.00E+00
2,51,0.00E+00
2,52,0.00E+00
2,53,0.00E+00
2,54,0.00E+00
2,55,0.00E+00
2,56,0.00E+00
2,57,0.00E+00
2,58,0.00E+00
2,59,0.00E+00
2,60,0.00E+00
2,61,0.00E+00
2,62,0.00E+00
2,63,0.00E+00
2,64,0.00E+00
2,65,0.00E+00
2,66,0.00E+00
2,67,0.00E+00
2,68,0.00E+00
2,69,0.00E+00
2,70,0.00E+00
2,71,0.00E+00
2,72,0.00E+00
2,73,0.00E+00
2,74,0.00E+00
2,75,0.00E+00
2,76,0.00E+00
2,77,0.00E+00
2,78,0.00E+00
2,79,0.00E+00
2,80,0.00E+00
2,81,0.00E+00
2,82,0.00E+00
2,83,0.00E+00
2,84,0.00E+00
2,85,0.00E+00
2,86,0.00E+00
2,87,0.00E+00
2,88,0.00E+00
2,89,0.00E+00
2,90,0.00E+00
2,91,0.00E+00
2,92,0.00E+00
2,93,0.00E+00
2,94,0.00E+00
2,95,0.00E+00
2,96,0.00E+00
2,97,0.00E+00
2,98,0.00E+00
2,99,0.00E+00
2,100,0.00E+00
2,101,0.00E+00
2,102,0.00E+00
2,103,0.00E+00
2,104,0.00E+00
2,105,0.00E+00
2,106,0.00E+00
2,107,0.00E+00
2,108,0.00E+00
2,109,0.00E+00
2,110,0.00E+00
2,111,0.00E+00
2,112,0.00E+00
2,113,0.00E+00
2,114,0.00E+00
2,115,0.00E+00
2,116,0.00E+00
2,117,0.00E+00
2,118,0.00E+00
2,119,0.00E+00
2,120,0.00E+00
2,121,0.00E+00
2,122,0.00E+00
2,123,0.00E+00
2,124,0.00E+00
2,125,0.00E+00
2,126,0.00E+00
2,127,0.00E+00
2,128,0.00E+00
2,129,0.00E+00
2,130,0.00E+00
2,131,0.00E+00
2,132,0.00E+00
2,133,0.00E+00
2,134,0.00E+00
2,135,0.00E+00
2,136,0.00E+00
2,137,0.00E+00
2,138,0.00E+00
2,139,0.00E+00
2,140,0.00E+00
2,141,0.00E+00
2,142,0.00E+00
2,143,0.00E+00
2,144,0.00E+00
2,145,0.00E+00
2,146,0.00E+00
2,147,0.00E+00
2,148,0.00E+00
2,149,0.00E+00
2,150,0.00E+00
2,151,0.00E+00
2,152,0.00E+00
2,153,0.00E+00
2,154,0.00E+00
2,155,0.00E+00
2,156,0.00E+00
2,157,0.00E+00
2,158,0.00E+00
2,159,0.00E+00
2,160,0.00E+00
2,161,0.00E+00
2,162,0.00E+00
2,163,0.00E+00
2,164,0.00E+00
2,165,0.00E+00
2,166,0.00E+00
2,167,0.00E+00
2,168,0.00E+00
2,169,0.00E+00
2,170,0.00E+00
2,171,0.00E+00
2,172,0.00E+00
2,173,0.00E+00
2,174,0.00E+00
2,175,0.00E+00
2,176,0.00E+00
2,177,0.00E+00
2,178,0.00E+00
2,179,0.00E+00
2,180,0.00E+00
2,181,0.00E+00
2,182,0.00E+00
2,183,0.00E+00
2,184,0.00E+00
2,185,0.00E+00
2,186,0.00E+00
2,187,0.00E+00
2,188,0.00E+00
2,189,0.00E+00
2,190,0.00E+00
2,191,0.00E+00
2,192,0.00E+00
2,193,0.00E+00
2,194,0.00E+00
2,195,0.00E+00
2,196,0.00E+00
2,197,0.00E+00
2,198,0.00E+00
2,199,0.00E+00
2,200,0.00E+00
2,201,0.00E+00
2,202,-9.99E+02
3,1,-999
3,2,0.00E+00
3,3,0.00E+00
3,4,0.00E+00
3,5,0.00E+00
3,6,0.00E+00
3,7,0.00E+00
3,8,0.00E+00
3,9,0.00E+00
3,10,0.00E+00
3,11,0.00E+00
3,12,0.00E+00
3,13,0.00E+00
3,14,0.00E+00
3,15,0.00E+00
3,16,0.00E+00
3,17,0.00E+00
3,18,0.00E+00
3,19,0.00E+00
3,20,0.00E+00
3,21,0.00E+00
3,22,0.00E+00
3,23,0.00E+00
3,24,0.00E+00
3,25,0.00E+00
3,26,0.00E+00
3,27,0.00E+00
3,28,0.00E+00
3,29,0.00E+00
3,30,0.00E+00
3,31,0.00E+00
3,32,0.00E+00
3,33,0.00E+00
3,34,0.00E+00
3,35,0.00E+00
3,36,0.00E+00
3,37,0.00E+00
3,38,0.00E+00
3,39,0.00E+00
3,40,0.00E+00
3,41,0.00E+00
3,42,0.00E+00
3,43,0.00E+00
3,44,0.00E+00
3,45,0.00E+00
3,46,0.00E+00
3,47,0.00E+00
3,48,0.00E+00
3,49,0.00E+00
3,50,0.00E+00
3,51,0.00E+00
3,52,0.00E+00
3,53,0.00E+00
3,54,0.00E+00
3,55,0.00E+00
3,56,0.00E+00
3,57,0.00E+00
3,58,0.00E+00
3,59,0.00E+00
3,60,0.00E+00
3,61,0.00E+00
3,62,0.00E+00
3,63,0.00E+00
3,64,0.00E+00
3,65,0.00E+00
3,66,0.00E+00
3,67,0.00E+00
3,68,0.00E+00
3,69,0.00E+00
3,70,0.00E+00
3,71,0.00E+00
3,72,0.00E+00
3,73,0.00E+00
3,74,0.00E+00
3,75,0.00E+00
3,76,0.00E+00
3,77,0.00E+00
3,78,0.00E+00
3,79,0.00E+00
3,80,0.00E+00
3,81,0.00E+00
3,82,0.00E+00
3,83,0.00E+00
3,84,0.00E+00
3,85,0.00E+00
3,86,0.00E+00
3,87,0.00E+00
3,88,0.00E+00
3,89,0.00E+00
3,90,0.00E+00
3,91,0.00E+00
3,92,0.00E+00
3,93,0.00E+00
3,94,0.00E+00
3,95,0.00E+00
3,96,0.00E+00
3,97,0.00E+00
3,98,0.00E+00
3,99,0.00E+00
3,100,0.00E+00
3,101,0.00E+00
3,102,0.00E+00
3,103,0.00E+00
3,104,0.00E+00
3,105,0.00E+00
3,106,0.00E+00
3,107,0.00E+00
3,108,0.00E+00
3,109,0.00E+00
3,110,0.00E+00
3,111,0.00E+00
3,112,0.00E+00
3,113,0.00E+00
3,114,0.00E+00
3,115,0.00E+00
3,116,0.00E+00
3,117,0.00E+00
3,118,0.00E+00
3,119,0.00E+00
3,120,0.00E+00
3,121,0.00E+00
3,122,0.00E+00
3,123,0.00E+00
3,124,0.00E+00
3,125,0.00E+00
3,126,0.00E+00
3,127,0.00E+00
3,128,0.00E+00
3,129,0.00E+00
3,130,0.00E+00
3,131,0.00E+00
3,132,0.00E+00
3,133,0.00E+00
3,134,0.00E+00
3,135,0.00E+00
3,136,0.00E+00
3,137,0.00E+00
3,138,0.00E+00
3,139,0.00E+00
3,140,0.00E+00
3,141,0.00E+00
3,142,0.00E+00
3,143,0.00E+00
3,144,0.00E+00
3,145,0.00E+00
3,146,0.00E+00
3,147,0.00E+00
3,148,0.00E+00
3,149,0.00E+00
3,150,0.00E+00
3,151,0.00E+00
3,152,0.00E+00
3,153,0.00E+00
3,154,0.00E+00
3,155,0.00E+00
3,156,0.00E+00
3,157,0.00E+00
3,158,0.00E+00
3,159,0.00E+00
3,160,0.00E+00
3,161,0.00E+00
3,162,0.00E+00
3,163,0.00E+00
3,164,0.00E+00
3,165,0.00E+00
3,166,0.00E+00
3,167,0.00E+00
3,168,0.00E+00
3,169,0.00E+00
3,170,0.00E+00
3,171,0.00E+00
3,172,0.00E+00
3,173,0.00E+00
3,174,0.00E+00
3,175,0.00E+00
3,176,0.00E+00
3,177,0.00E+00
3,178,0.00E+00
3,179,0.00E+00
3,180,0.00E+00
3,181,0.00E+00
3,182,0.00E+00
3,183,0.00E+00
3,184,0.00E+00
3,185,0.00E+00
3,186,0.00E+00
3,187,0.00E+00
3,188,0.00E+00
3,189,0.00E+00
3,190,0.00E+00
3,191,0.00E+00
3,192,0.00E+00
3,193,0.00E+00
3,194,0.00E+00
3,195,0.00E+00
3,196,0.00E+00
3,197,0.00E+00
3,198,0.00E+00
3,199,0.00E+00
3,200,0.00E+00
3,201,0.00E+00
3,202,-9.99E+02
