Compartment,First SV,Second SV,Rate Constant (/day) wrt First SV
120,2,1,0.1
121,2,1,0.1
122,2,1,0.1
123,2,1,0.1
124,2,1,0.1
125,2,1,0.1
126,2,1,0.1
127,2,1,0.1
128,2,1,0.1
129,2,1,0.1
130,2,1,0.1
131,2,1,0.1
132,2,1,0.1
133,2,1,0.1
134,2,1,0.1
135,2,1,0.1
136,2,1,0.1
137,2,1,0.1
138,2,1,0.1
139,2,1,0.1
140,2,1,0.1
141,2,1,0.1
142,2,1,0.1
143,2,1,0.1
144,2,1,0.1
145,2,1,0.1
146,2,1,0.1
147,2,1,0.1
148,2,1,0.1
149,2,1,0.1
150,2,1,0.1
151,2,1,0.1
152,2,1,0.1
153,2,1,0.1
154,2,1,0.1
155,2,1,0.1
156,2,1,0.1
157,2,1,0.1
158,2,1,0.1
159,2,1,0.1
160,2,1,0.1
161,2,1,0.1
162,2,1,0.1
163,2,1,0.1
164,2,1,0.1
165,2,1,0.1
166,2,1,0.1
167,2,1,0.1
168,2,1,0.1
169,2,1,0.1
170,2,1,0.1
171,2,1,0.1
172,2,1,0.1
173,2,1,0.1
174,2,1,0.1
175,2,1,0.1
176,2,1,0.1
177,2,1,0.1
178,2,1,0.1
179,2,1,0.1
180,2,1,0.1
181,2,1,0.1
182,2,1,0.1
183,2,1,0.1
184,2,1,0.1
185,2,1,0.1
186,2,1,0.1
187,2,1,0.1
188,2,1,0.1
189,2,1,0.1
190,2,1,0.1
191,2,1,0.1
192,2,1,0.1
193,2,1,0.1
194,2,1,0.1
195,2,1,0.1
196,2,1,0.1
197,2,1,0.1
198,2,1,0.1
199,2,1,0.1
200,2,1,0.1
201,2,1,0.1
2,2,3,-0.05
3,2,3,-0.05
4,2,3,-0.05
5,2,3,-0.05
6,2,3,-0.05
7,2,3,-0.05
8,2,3,-0.05
9,2,3,-0.05
10,2,3,-0.05
11,2,3,-0.05
12,2,3,-0.05
13,2,3,-0.05
14,2,3,-0.05
15,2,3,-0.05
16,2,3,-0.05
17,2,3,-0.05
18,2,3,-0.05
19,2,3,-0.05
20,2,3,-0.05
21,2,3,-0.05
22,2,3,-0.05
23,2,3,-0.05
24,2,3,-0.05
25,2,3,-0.05
26,2,3,-0.05
27,2,3,-0.05
28,2,3,-0.05
29,2,3,-0.05
30,2,3,-0.05
31,2,3,-0.05
32,2,3,-0.05
33,2,3,-0.05
34,2,3,-0.05
35,2,3,-0.05
36,2,3,-0.05
37,2,3,-0.05
38,2,3,-0.05
39,2,3,-0.05
40,2,3,-0.05
41,2,3,-0.05
42,2,3,-0.05
43,2,3,-0.05
44,2,3,-0.05
45,2,3,-0.05
46,2,3,-0.05
47,2,3,-0.05
48,2,3,-0.05
49,2,3,-0.05
50,2,3,-0.05
51,2,3,-0.05
52,2,3,-0.05
53,2,3,-0.05
54,2,3,-0.05
55,2,3,-0.05
56,2,3,-0.05
57,2,3,-0.05
58,2,3,-0.05
59,2,3,-0.05
60,2,3,-0.05
61,2,3,-0.05
62,2,3,-0.05
63,2,3,-0.05
64,2,3,-0.05
65,2,3,-0.05
66,2,3,-0.05
67,2,3,-0.05
68,2,3,-0.05
69,2,3,-0.05
70,2,3,-0.05
71,2,3,-0.05
72,2,3,-0.05
73,2,3,-0.05
74,2,3,-0.05
75,2,3,-0.05
76,2,3,-0.05
77,2,3,-0.05
78,2,3,-0.05
79,2,3,-0.05
80,2,3,-0.05
81,2,3,-0.05
82,2,3,-0.05
83,2,3,-0.05
84,2,3,-0.05
85,2,3,-0.05
86,2,3,-0.05
87,2,3,-0.05
88,2,3,-0.05
89,2,3,-0.05
90,2,3,-0.05
91,2,3,-0.05
92,2,3,-0.05
93,2,3,-0.05
94,2,3,-0.05
95,2,3,-0.05
96,2,3,-0.05
97,2,3,-0.05
98,2,3,-0.05
99,2,3,-0.05
100,2,3,-0.05
101,2,3,-0.05
102,2,3,-0.05
103,2,3,-0.05
104,2,3,-0.05
105,2,3,-0.05
106,2,3,-0.05
107,2,3,-0.05
108,2,3,-0.05
109,2,3,-0.05
110,2,3,-0.05
111,2,3,-0.05
112,2,3,-0.05
113,2,3,-0.05
114,2,3,-0.05
115,2,3,-0.05
116,2,3,-0.05
117,2,3,-0.05
118,2,3,-0.05
119,2,3,-0.05
120,2,3,-0.05
121,2,3,-0.05
122,2,3,-0.05
123,2,3,-0.05
124,2,3,-0.05
125,2,3,-0.05
126,2,3,-0.05
127,2,3,-0.05
128,2,3,-0.05
129,2,3,-0.05
130,2,3,-0.05
131,2,3,-0.05
132,2,3,-0.05
133,2,3,-0.05
134,2,3,-0.05
135,2,3,-0.05
136,2,3,-0.05
137,2,3,-0.05
138,2,3,-0.05
139,2,3,-0.05
140,2,3,-0.05
141,2,3,-0.05
142,2,3,-0.05
143,2,3,-0.05
144,2,3,-0.05
145,2,3,-0.05
146,2,3,-0.05
147,2,3,-0.05
148,2,3,-0.05
149,2,3,-0.05
150,2,3,-0.05
151,2,3,-0.05
152,2,3,-0.05
153,2,3,-0.05
154,2,3,-0.05
155,2,3,-0.05
156,2,3,-0.05
157,2,3,-0.05
158,2,3,-0.05
159,2,3,-0.05
160,2,3,-0.05
161,2,3,-0.05
162,2,3,-0.05
163,2,3,-0.05
164,2,3,-0.05
165,2,3,-0.05
166,2,3,-0.05
167,2,3,-0.05
168,2,3,-0.05
169,2,3,-0.05
170,2,3,-0.05
171,2,3,-0.05
172,2,3,-0.05
173,2,3,-0.05
174,2,3,-0.05
175,2,3,-0.05
176,2,3,-0.05
177,2,3,-0.05
178,2,3,-0.05
179,2,3,-0.05
180,2,3,-0.05
181,2,3,-0.05
182,2,3,-0.05
183,2,3,-0.05
184,2,3,-0.05
185,2,3,-0.05
186,2,3,-0.05
187,2,3,-0.05
188,2,3,-0.05
189,2,3,-0.05
190,2,3,-0.05
191,2,3,-0.05
192,2,3,-0.05
193,2,3,-0.05
194,2,3,-0.05
195,2,3,-0.05
196,2,3,-0.05
197,2,3,-0.05
198,2,3,-0.05
199,2,3,-0.05
200,2,3,-0.05
201,2,3,-0.05
2,3,2,0.05
3,3,2,0.05
4,3,2,0.05
5,3,2,0.05
6,3,2,0.05
7,3,2,0.05
8,3,2,0.05
9,3,2,0.05
10,3,2,0.05
11,3,2,0.05
12,3,2,0.05
13,3,2,0.05
14,3,2,0.05
15,3,2,0.05
16,3,2,0.05
17,3,2,0.05
18,3,2,0.05
19,3,2,0.05
20,3,2,0.05
21,3,2,0.05
22,3,2,0.05
23,3,2,0.05
24,3,2,0.05
25,3,2,0.05
26,3,2,0.05
27,3,2,0.05
28,3,2,0.05
29,3,2,0.05
30,3,2,0.05
31,3,2,0.05
32,3,2,0.05
33,3,2,0.05
34,3,2,0.05
35,3,2,0.05
36,3,2,0.05
37,3,2,0.05
38,3,2,0.05
39,3,2,0.05
40,3,2,0.05
41,3,2,0.05
42,3,2,0.05
43,3,2,0.05
44,3,2,0.05
45,3,2,0.05
46,3,2,0.05
47,3,2,0.05
48,3,2,0.05
49,3,2,0.05
50,3,2,0.05
51,3,2,0.05
52,3,2,0.05
53,3,2,0.05
54,3,2,0.05
55,3,2,0.05
56,3,2,0.05
57,3,2,0.05
58,3,2,0.05
59,3,2,0.05
60,3,2,0.05
61,3,2,0.05
62,3,2,0.05
63,3,2,0.05
64,3,2,0.05
65,3,2,0.05
66,3,2,0.05
67,3,2,0.05
68,3,2,0.05
69,3,2,0.05
70,3,2,0.05
71,3,2,0.05
72,3,2,0.05
73,3,2,0.05
74,3,2,0.05
75,3,2,0.05
76,3,2,0.05
77,3,2,0.05
78,3,2,0.05
79,3,2,0.05
80,3,2,0.05
81,3,2,0.05
82,3,2,0.05
83,3,2,0.05
84,3,2,0.05
85,3,2,0.05
86,3,2,0.05
87,3,2,0.05
88,3,2,0.05
89,3,2,0.05
90,3,2,0.05
91,3,2,0.05
92,3,2,0.05
93,3,2,0.05
94,3,2,0.05
95,3,2,0.05
96,3,2,0.05
97,3,2,0.05
98,3,2,0.05
99,3,2,0.05
100,3,2,0.05
101,3,2,0.05
102,3,2,0.05
103,3,2,0.05
104,3,2,0.05
105,3,2,0.05
106,3,2,0.05
107,3,2,0.05
108,3,2,0.05
109,3,2,0.05
110,3,2,0.05
111,3,2,0.05
112,3,2,0.05
113,3,2,0.05
114,3,2,0.05
115,3,2,0.05
116,3,2,0.05
117,3,2,0.05
118,3,2,0.05
119,3,2,0.05
120,3,2,0.05
121,3,2,0.05
122,3,2,0.05
123,3,2,0.05
124,3,2,0.05
125,3,2,0.05
126,3,2,0.05
127,3,2,0.05
128,3,2,0.05
129,3,2,0.05
130,3,2,0.05
131,3,2,0.05
132,3,2,0.05
133,3,2,0.05
134,3,2,0.05
135,3,2,0.05
136,3,2,0.05
137,3,2,0.05
138,3,2,0.05
139,3,2,0.05
140,3,2,0.05
141,3,2,0.05
142,3,2,0.05
143,3,2,0.05
144,3,2,0.05
145,3,2,0.05
146,3,2,0.05
147,3,2,0.05
148,3,2,0.05
149,3,2,0.05
150,3,2,0.05
151,3,2,0.05
152,3,2,0.05
153,3,2,0.05
154,3,2,0.05
155,3,2,0.05
156,3,2,0.05
157,3,2,0.05
158,3,2,0.05
159,3,2,0.05
160,3,2,0.05
161,3,2,0.05
162,3,2,0.05
163,3,2,0.05
164,3,2,0.05
165,3,2,0.05
166,3,2,0.05
167,3,2,0.05
168,3,2,0.05
169,3,2,0.05
170,3,2,0.05
171,3,2,0.05
172,3,2,0.05
173,3,2,0.05
174,3,2,0.05
175,3,2,0.05
176,3,2,0.05
177,3,2,0.05
178,3,2,0.05
179,3,2,0.05
180,3,2,0.05
181,3,2,0.05
182,3,2,0.05
183,3,2,0.05
184,3,2,0.05
185,3,2,0.05
186,3,2,0.05
187,3,2,0.05
188,3,2,0.05
189,3,2,0.05
190,3,2,0.05
191,3,2,0.05
192,3,2,0.05
193,3,2,0.05
194,3,2,0.05
195,3,2,0.05
196,3,2,0.05
197,3,2,0.05
198,3,2,0.05
199,3,2,0.05
200,3,2,0.05
201,3,2,0.05
2,3,3,-0.01
3,3,3,-0.01
4,3,3,-0.01
5,3,3,-0.01
6,3,3,-0.01
7,3,3,-0.01
8,3,3,-0.01
9,3,3,-0.01
10,3,3,-0.01
11,3,3,-0.01
12,3,3,-0.01
13,3,3,-0.01
14,3,3,-0.01
15,3,3,-0.01
16,3,3,-0.01
17,3,3,-0.01
18,3,3,-0.01
19,3,3,-0.01
20,3,3,-0.01
21,3,3,-0.01
22,3,3,-0.01
23,3,3,-0.01
24,3,3,-0.01
25,3,3,-0.01
26,3,3,-0.01
27,3,3,-0.01
28,3,3,-0.01
29,3,3,-0.01
30,3,3,-0.01
31,3,3,-0.01
32,3,3,-0.01
33,3,3,-0.01
34,3,3,-0.01
35,3,3,-0.01
36,3,3,-0.01
37,3,3,-0.01
38,3,3,-0.01
39,3,3,-0.01
40,3,3,-0.01
41,3,3,-0.01
42,3,3,-0.01
43,3,3,-0.01
44,3,3,-0.01
45,3,3,-0.01
46,3,3,-0.01
47,3,3,-0.01
48,3,3,-0.01
49,3,3,-0.01
50,3,3,-0.01
51,3,3,-0.01
52,3,3,-0.01
53,3,3,-0.01
54,3,3,-0.01
55,3,3,-0.01
56,3,3,-0.01
57,3,3,-0.01
58,3,3,-0.01
59,3,3,-0.01
60,3,3,-0.01
61,3,3,-0.01
62,3,3,-0.01
63,3,3,-0.01
64,3,3,-0.01
65,3,3,-0.01
66,3,3,-0.01
67,3,3,-0.01
68,3,3,-0.01
69,3,3,-0.01
70,3,3,-0.01
71,3,3,-0.01
72,3,3,-0.01
73,3,3,-0.01
74,3,3,-0.01
75,3,3,-0.01
76,3,3,-0.01
77,3,3,-0.01
78,3,3,-0.01
79,3,3,-0.01
80,3,3,-0.01
81,3,3,-0.01
82,3,3,-0.01
83,3,3,-0.01
84,3,3,-0.01
85,3,3,-0.01
86,3,3,-0.01
87,3,3,-0.01
88,3,3,-0.01
89,3,3,-0.01
90,3,3,-0.01
91,3,3,-0.01
92,3,3,-0.01
93,3,3,-0.01
94,3,3,-0.01
95,3,3,-0.01
96,3,3,-0.01
97,3,3,-0.01
98,3,3,-0.01
99,3,3,-0.01
100,3,3,-0.01
101,3,3,-0.01
102,3,3,-0.01
103,3,3,-0.01
104,3,3,-0.01
105,3,3,-0.01
106,3,3,-0.01
107,3,3,-0.01
108,3,3,-0.01
109,3,3,-0.01
110,3,3,-0.01
111,3,3,-0.01
112,3,3,-0.01
113,3,3,-0.01
114,3,3,-0.01
115,3,3,-0.01
116,3,3,-0.01
117,3,3,-0.01
118,3,3,-0.01
119,3,3,-0.01
120,3,3,-0.01
121,3,3,-0.01
122,3,3,-0.01
123,3,3,-0.01
124,3,3,-0.01
125,3,3,-0.01
126,3,3,-0.01
127,3,3,-0.01
128,3,3,-0.01
129,3,3,-0.01
130,3,3,-0.01
131,3,3,-0.01
132,3,3,-0.01
133,3,3,-0.01
134,3,3,-0.01
135,3,3,-0.01
136,3,3,-0.01
137,3,3,-0.01
138,3,3,-0.01
139,3,3,-0.01
140,3,3,-0.01
141,3,3,-0.01
142,3,3,-0.01
143,3,3,-0.01
144,3,3,-0.01
145,3,3,-0.01
146,3,3,-0.01
147,3,3,-0.01
148,3,3,-0.01
149,3,3,-0.01
150,3,3,-0.01
151,3,3,-0.01
152,3,3,-0.01
153,3,3,-0.01
154,3,3,-0.01
155,3,3,-0.01
156,3,3,-0.01
157,3,3,-0.01
158,3,3,-0.01
159,3,3,-0.01
160,3,3,-0.01
161,3,3,-0.01
162,3,3,-0.01
163,3,3,-0.01
164,3,3,-0.01
165,3,3,-0.01
166,3,3,-0.01
167,3,3,-0.01
168,3,3,-0.01
169,3,3,-0.01
170,3,3,-0.01
171,3,3,-0.01
172,3,3,-0.01
173,3,3,-0.01
174,3,3,-0.01
175,3,3,-0.01
176,3,3,-0.01
177,3,3,-0.01
178,3,3,-0.01
179,3,3,-0.01
180,3,3,-0.01
181,3,3,-0.01
182,3,3,-0.01
183,3,3,-0.01
184,3,3,-0.01
185,3,3,-0.01
186,3,3,-0.01
187,3,3,-0.01
188,3,3,-0.01
189,3,3,-0.01
190,3,3,-0.01
191,3,3,-0.01
192,3,3,-0.01
193,3,3,-0.01
194,3,3,-0.01
195,3,3,-0.01
196,3,3,-0.01
197,3,3,-0.01
198,3,3,-0.01
199,3,3,-0.01
200,3,3,-0.01
201,3,3,-0.01
-999
